Table 1
MicroLab Parts List							
							
NOTE 1: We link to places that have the parts that we used. They aren't picked for best price or universal availability							
"NOTE 2: Saving money - check the price of a part in multiples, it may be cheaper than buying just one"							
							
Section	Part ID	Count	Name	Primary Link	Secondary Link	Description / Notes	
Control Unit (CU)	CU-USB	2	Mountable USB cables	Ali Express Link			
Control Unit (CU)	CU-USB	2	Mountable USB cables	Ali Express Link			
Control Unit (CU)	CU-SDC	1	"12V to 5V Converter, stepdown "	Amazon link	Ali Express Link	Stepdown converter with barrel connector and USB ports.	
Control Unit (CU)	CU-UTS	1	USB to Screw Terminal adapter		Amazon link	Used with 12V to 5V Converter (CU-SDC)	
Control Unit (CU)	CU-RAH	1	Right angle header row	Amazon link			
Control Unit (CU)	CU-WCS	1	Wire Cutter and Stripper	Amazon link			
Control Unit (CU)	CU-FCT	1	Flush cutters	Amazon link			
Control Unit (CU)	CU-NNP	1	Needle-nose pilers	Amazon link			
							
							
Shared Parts							
Shared Parts	SP-CAB	15ft roll	"4-wire cable, 18 gauge"	Amazon link		[Control Unit] [Pumps Box] 10 feet will be used to make cables to connect the Control Unit and the Pumps unit. Some of the rest will be used to wire components within the Control Unit. 	
Shared Parts	SP-RBW	40ft roll	"2-wire cable, red and Black , 18 gauge"	Amazon link		"We won't use all of it, you may want to get a smaller amount if you can find it cheaper. "	
Shared Parts	SP-SWW	15ft roll	Split Wire Wrap	Amazon link		[Control Unit] [Pumps Box]	
Shared Parts	SP-PC12	2	"12-pin connector, panel-mount screw terminal "	Amazon link		"[Control Unit] [Pumps Box]  connector has three pieces: plug, mount plate and socket"	
Shared Parts	SP-PC8	2	"8-pin connector, panel-mount screw terminal "			"[Control Unit] [Pumps Box] connector has three pieces: plug, mount plate and socket"	
Shared Parts	SP-PC2	1	"2-pin connector, panel-mount screw terminal "			"[Control Unit] connector has three pieces: plug, mount plate and socket"	
Shared Parts	SP-M3S-12	23	12mm M3 screws with nuts	Amazon link - assortment		[Reactor Unit]  3 for reactor unit and 20 for reactor stand	
Shared Parts	SP-M3S-16	28	16mm M3 screws with nuts			"[Control Unit] [Pumps]  20 for Pumps Box, 8 Control Unit"	
Shared Parts	SP-M3S-20	5	20mm M3 screws with nuts			"[Control Unit] [Reactor]  2 for Control Unit, 3 for Reactor Unit"	
Shared Parts	SP-M3S-30	5	30mm M3 screws with nuts			Pumps Box 4	
Shared Parts	SP-SMC	6	Stepper motor cables	included w/ peristaltic pumps	Amazon link	"The 3 stepper motors come with their own cable, but will need to cut  in half and both ends stripped. The linked ones are ready to use. "	
Shared Parts	SP-ETN	1 roll	"Electrical tape, narrow"	Amazon link		"1"" is most common, 1/2"" should be narrow enough"	
							
							
							
TEMPERATURE CONTROL UNIT							
Temp Control (TC)	TC-PMP	2	Circulating pump	Amazon link		"To run both heating and cooling in the same recipe without hardware reconfiguration between recipe steps, 2 pumps are required.

NOTE: Operational limits to pumps in terms of capacity and temperature have not been determined. Larger pumps may be desired for optimal operation, especially at high temperatures. Self-priming pumps are HIGHLY recommended.

NOTE: These will actually be installed in the Pumps Unit."	
Temp Control (TC)	TC-SBH	1	Submersible heater	Amazon link			
Temp Control (TC)	TC-CTB	1	"Copper tubing 1/4"" OD x 3/16"" ID"	Amazon link for raw copper tubing	"Ebay Link for beer cooler

Amazon link for oil cooler"	"Copper tubing should fit snugly within the silicone tubing. This 10’ length should be enough to make 1 dense or 2 loose heat exchanger coils. 

Pre-formed coils used for chilling in beer brewing are more expensive, but easier. These are also typically too large for even wide-mouth mason jars, so another container may be needed.

We are also looking into automotive transmission oil coolers although aluminum is almost 50% less conductive than copper!"	
Temp Control (TC)	TC-ST7	1	Silicone tubing 8mm OD x 5mm ID	Amazon link		Silicone tubing should fit snugly around the copper tubing	
Temp Control (TC)	TC-TEE	2	Barbed tee fittings for 6mm tubing	McMaster link		Purchase tubing compatible with your circulation pump and the copper tubing!	
Temp Control (TC)	TC-JAR	2	32oz wide mouth canning jar 	Amazon link		A 32oz wide mouth jar will contain the heating coils and the copper coils. Link is to a multi-pack but single jars are not easy to find and buying in bulk is often cheaper. 	
Temp Control (TC)	TC-REL	1	Switchable power supply	Amazon link			
Temp Control (TC)	TC-INS	2	Insulation for jars			"Although you could use a knit hat or any other insulator for this, we find that upcycling the foil bubblewrap bags used for shipping cold things is a light and convenient way to insulate the jars"	
Temp Control (TC)	TC-TAP	1	Tape for the insulation				
Temp Control (TC)	TC-TCT	1	Copper tube cutter tool	Amazon link			
Temp Control (TC)	TC-CTJ	1	Copper tube jig			"Currently we are using the Reactor Core manifold as a jig, other options include, a cylinder with a smaller diameter than the jar or a medium-to-large dowel/tube
      "	
Temp Control (TC)	TC-CUL	1	Cooling Unit Lid (Printed)	MicroLab link	Github Link	Lid for the  jar 	
Temp Control (TC)	TC-HUL	1	Heating Unit Lid (Printed)	MicroLab link	Github Link	Lid for the jar 	
Temp Control (TC)	TC-LIQ	1	"Liquid, water or other"			"We have been using water for this version, but other liquids may be more effective for the temperature control."	
							
REACTOR UNIT							
Reactor Unit	RU-SRM	1	Stir rod motor	Amazon link		Amazon link  This link is to a 100 RPM 12v motor. You can also buy a faster motor and use a PWM controller to adjust the speed manually.	
Reactor Unit	RU-STR	1	Stir rod 	Amazon link		Mixing paddle needs to be coated / PTFE. Stainless steel may react. Paddle should be small enough to fit easily in the 6oz mason jar	
Reactor Unit	RU-SRC	1	Stir rod coupler	Amazon link			
Reactor Unit	RU-COR	1	Reactor manifold core (Printed)	MicroLab link	Github Link		
Reactor Unit	RU-LID	1	Reactor manifold lid (Printed)	MicroLab link	Github Link		
Reactor Unit	RU-SRM	1	Stir rod mount (Printed)	MicroLab link	Github Link	NOTE: the motor mount is under development and does not exactly fit the linked motor	
Reactor Unit	RU-RJF	2	Jar Flanges (Printed)	MicroLab link	Github Link		
Reactor Unit	RU-COR	1	6 oz regular mouth mason jar for core chamber	Amazon 4oz link	Amazon 6oz link	6oz jars are optimal but are hard to find individually	
Reactor Unit	RU-OUT	1	32oz wide mouth mason jar for outer jacket	Amazon link		Same jar as the temperature control units	
Reactor Unit	RU-SDH	1	Reactor stand - H  (Printed)	MicroLab link	Github Link	H shaped piece for the reactor stand	
Reactor Unit	RU-SDA	1	Reactor stand - A  (Printed)	MicroLab link	Github Link	A shaped piece for the reactor stand	
Reactor Unit	RU-SDC	1	Reactor stand - ¢  (Printed)	MicroLab link	Github Link	¢ shaped piece for the reactor stand	
Reactor Unit	RU-SDK	1	Reactor stand - K  (Printed)	MicroLab link	Github Link	K  shaped piece for the reactor stand	
Reactor Unit	RU-TMP	1	Thermistor	Ali Express link		Used to monitor the temperature in the reaction chamber. This is a link to a USB DS18B20 	
Reactor Unit	RU-PPM	3	Peristaltic pumps with stepper motors	Amazon link	Alibaba Link	"The 3 stepper motors should come with their own cable, but will need to cut in half and split between the Control Unit and the pumps box. "	
Reactor Unit	RU-SYR	3	Syringes	Amazon link		20 or 30mL are standard sizes. You may want more of these or different sizes.	
Reactor Unit	RU-PUB	1	Pumps box (Printed)	MicroLab link	Github Link	Case to put pumps and motors in 	
Reactor Unit	RU-PUL	1	Pumps lid (Printed)	MicroLab link	Github Link	Lid for pumps case	
Reactor Unit	RU-ST8	1	Silicone tubing 8mm OD x 5mm ID	Amazon link		Silicone tubing should fit snugly around the copper tubing	
Reactor Unit	RU-SUP	1	Wire coat hanger			Used to support the syringes	
